ATC kode,Substansenavn
A10AB30,kombinasjoner
A10AC,"Insuliner og analoger til injeksjon, middels lang virketid"
A10AC01,insulin (human)
A10AC02,insulin (storfe)
A10AC03,insulin (svin)
A10AC04,insulin lispro
A10AC30,kombinasjoner
A10AD,"Insuliner og analoger til injeksjon, middels eller lang virketid i kombinasjon med hurtigvirkende"
A10AD01,insulin (human)
A10AD02,insulin (storfe)
A10AD03,insulin (svin)
A10AD04,insulin lispro
A10AD05,insulin aspart
A10AD06,insulin degludec og insulin aspart
A10AD30,kombinasjoner
A10AE,"Insuliner og analoger til injeksjon, langtidsvirkende"
A10AE01,insulin (human)
A10AE02,insulin (storfe)
A10AE03,insulin (svin)
A10AE04,insulin glargin
A10AE05,insulin detemir
A10AE06,insulin degludec
A10AE30,kombinasjoner
A10AE54,insulin glargin og liksisenatid
A10AE56,insulin degludec og liraglutid
A10AF,Insuliner og analoger til inhalasjon
A10AF01,insulin (human)
A10B,"Blodglukosesenkende midler, ekskl. insuliner"
A10BA,Biguanidderivater
A10BA01,fenformin
A10BA02,metformin
A10BA03,buformin
A10BB,Sulfonyl urea
A10BB01,glibenklamid
A10BB02,klorpropamid
A10BB03,tolbutamid
A10BB04,glibornurid
A10BB05,tolazamid
A10BB06,karbutamid
A10BB07,glipizid
A10BB08,gliquidon
A10BB09,gliklazid
A10BB10,metaheksamid
A10BB11,glisoksepid
A10BB12,glimepirid
A10BB31,acetoheksamid
A10BC,"Sulfonamider, derivater av heterosykliske forbindelser"
A10BC01,glymidin
A10BD,Kombinasjoner av blodglukosesenkende midler til oralt bruk
A10BD01,fenformin og sulfonylureaderivater
A10BD02,metformin og sulfonylureaderivater
A10BD03,metformin og rosiglitazon
A10BD04,glimepirid og rosiglitazon
A10BD05,metformin og pioglitazon
A10BD06,glimepirid og pioglitazon
A10BD07,metformin og sitagliptin
A10BD08,metformin og vildagliptin
A10BD09,pioglitazon og alogliptin
A10BD10,metformin og saksagliptin
A10BD11,metformin og linagliptin
A10BD12,pioglitazon og sitagliptin
A10BD13,metformin og alogliptin
A10BD14,metformin og repaglinid
A10BD15,metformin og dapagliflozin
A10BD16,metformin og kanagliflozin
A10BD17,metformin og akarbose
A10BD18,metformin og gemigliptin
A10BD19,linagliptin og empagliflozin
A10BD20,metformin og empagliflozin
A10BD21,saksagliptin og dapagliflozin
A10BD22,metformin og evogliptin
A10BD23,metformin og ertugliflozin
A10BD24,sitagliptin og ertugliflozin
A10BD25,"metformin, saksagliptin og dapagliflozin"
A10BD26,metformin og lobeglitazon
A10BF,Alfa glukosidasehemmere
A10BF01,akarbose
A10BF02,miglitol
A10BF03,voglibose
A10BG,Tiazolidindioner
A10BG01,troglitazon
A10BG02,rosiglitazon
A10BG03,pioglitazon
A10BG04,lobeglitazon
A10BH,Dipepitidylpeptidase 4-hemmere
A10BH01,sitagliptin
A10BH02,vildagliptin
A10BH03,saksagliptin
A10BH04,alogliptin
A10BH05,linagliptin
A10BH06,gemigliptin
A10BH07,evogliptin
A10BH08,teneligliptin
A10BH51,sitagliptin og simvastatin
A10BH52,gemigliptin og rosuvastatin
A10BJ,Glukagonlignende peptid-1 (GLP-1)-analoger
A10BJ01,eksenatid
A10BJ02,liraglutid
A10BJ03,liksisenatid
A10BJ04,albiglutid
A10BJ05,dulaglutid
A10BJ06,semaglutid
A10BJ07,beinaglutid
A10BK,Natriumglukose-kotransportør 2 (SLGT2)-hemmere
A10BK01,dapagliflozin
A10BK02,kanagliflozin
A10BK03,empagliflozin
A10BK04,ertugliflozin
A10BK05,ipragliflozin
A10BK06,sotagliflozin
A10BK07,luseogliflozin
A10BX,"Andre blodglukosesenkende midler, ekskl. insuliner"
A10BX01,guargummi
A10BX02,repaglinid
A10BX03,nateglinid
A10BX05,pramlintid
A10BX06,benfluoreks
A10BX08,mitiglinid
A10X,Andre midler brukt i forbindelse med diabetes
A10XA,Aldose reduktase hemmere
A10XA01,tolrestat
A11,Vitaminer
A11A,"Multivitaminer, kombinasjoner"
A11AA,Multivitaminer med mineraler
A11AA01,multivitaminer og jern
A11AA02,multivitaminer og kalsium
A11AA03,multivitaminer og andre mineraler inkl. kombinasjoner
A11AA04,multivititaminer med mineraler i spormengder
A11AB,"Multivitaminer, andre kombinasjoner"
A11B,"Multivitaminer, usammensatte"
A11BA,"Multivitaminer, usammensatte"
A11C,"Vitamin A og D, inkl. A og D i kombinasjon"
A11CA,"Vitamin A, usammensatte"
A11CA01,retinol (Vit A)
A11CA02,betakaroten
A11CB,Vitamin A og D i kombinasjon
A11CC,Vitamin D og analoger
A11CC01,ergokalsiferol
A11CC02,dihydrotakysterol
A11CC03,alfakalsidol
A11CC04,kalsitriol
A11CC05,kolekalsiferol
A11CC06,kalsifediol
A11CC20,kombinasjoner
A11CC55,"kolekalsiferol, kombinasjoner"
A11D,"Vitamin B1, inkl. kombinasjoner med B6 og B12"
A11DA,"Vitamin B1, usammensatte"
A11DA01,tiamin (Vit B1)
A11DA02,sulbutiamin
A11DA03,benfotiamin
A11DB,Vitamin B1 i kombinasjoner med vitamin B6 og/eller vitamin B12
A11E,"Vitamin B-kompleks, inkl. kombinasjoner"
A11EA,"Vitamin B-kompleks, usammensatte"
A11EB,Vitamin B-kompleks med vitamin C
A11EC,Vitamin B-kompleks med mineraler
A11ED,Vitamin B-kompleks med anabole steroider
A11EX,"Vitamin B-kompleks, andre kombinasjoner"
A11G,"Vitamin C, inkl. kombinasjoner"
A11GA,"Askorbinsyre (vitamin C), usammensatte"
A11GA01,askorbinsyre (vit C)
A11GB,"Askorbinsyre (vitamin C), kombinasjoner"
A11GB01,askorbinsyre (vit C) og kalsium
A11H,Andre usammensatte vitaminmidler
A11HA,Andre usammensatte vitaminmidler
A11HA01,nikotinamid
A11HA02,pyridoksin (vit B6)
A11HA03,tokoferol (vit E)
A11HA04,riboflavin (vit B2)
A11HA05,biotin
A11HA06,pyridoksalfosfat
A11HA07,inositol
A11HA08,tokofersolan
A11HA30,dekspantenol
A11HA31,kalsiumpantotenat
A11HA32,pantetin
A11J,"Andre vitaminmidler, kombinasjoner"
A11JA,Kombinasjoner av vitaminer
A11JB,Vitaminer med mineraler
A11JC,"Vitaminer, andre kombinasjoner"
A12,Mineraltilskudd
A12A,Kalsium
A12AA,Kalsium
A12AA01,kalsiumfosfat
A12AA02,kalsiumglubionat
A12AA03,kalsiumglukonat
A12AA04,kalsiumkarbonat
A12AA05,kalsiumlaktat
A12AA06,kalsiumlaktoglukonat
A12AA07,kalsiumklorid
A12AA08,kalsiumglyserylfosfat
A12AA09,kalsiumsitratlysinkompleks
A12AA10,kalsiumglukoheptonat
A12AA11,kalsiumpangamat
A12AA13,kalsiumsitrat
A12AA20,"kalsium, blanding av salter"
A12AA30,kalsiumlevulat
A12AX,"Kalsium, kombinasjoner med vitamin D og/eller andre midler"
A12B,Kalium
A12BA,Kalium
A12BA01,kaliumklorid
A12BA02,kaliumsitrat
A12BA03,kaliumhydrogentartrat
A12BA04,kaliumhydrogenkarbonat
A12BA05,kaliumglukonat
A12BA30,"Kalium, ulike salter i kombinasjon"
A12BA51,"kaliumklorid, kombinasjoner"
A12C,Andre mineralmidler
A12CA,Natrium
A12CA01,natriumklorid
A12CA02,natriumsulfat
A12CB,Sink
A12CB01,sinksulfat
A12CB02,sinkglukonat
A12CB03,sink/proteinkompleks
A12CC,Magnesium
A12CC01,magnesiumklorid
A12CC02,magnesiumsulfat
A12CC03,magnesiumglukonat
A12CC04,magnesiumsitrat
A12CC05,magnesiumaspartat
A12CC06,magnesiumlaktat
A12CC07,magnesiumlevulinat
A12CC08,magnesiumpidolat
A12CC09,magnesiumorotat
A12CC10,magnesiumoksid
A12CC30,"magnesium, blanding av salter"
A12CD,Fluorid
A12CD01,natriumfluorid
A12CD02,natriummonofluorofosfat
A12CD51,"fluorid, kombinasjoner"
A12CE,Selen
A12CE01,natriumselenat
A12CE02,natriumselenitt
A12CX,Diverse mineralmidler
A13,Tonika
A13A,Tonika
A14,Anabole midler til systemisk bruk
A14A,Anabole steroider
A14AA,Androstanderivater
A14AA01,androstanolon
A14AA02,stanozolol
A14AA03,metandienon
A14AA04,metenolon
A14AA05,oksymetolon
A14AA06,kinbolon
A14AA07,prasteron
A14AA08,oksandrolon
A14AA09,noretandrolon
A14AB,Estrenderivater
A14AB01,nandrolon
A14AB02,etyløstrenol
A14AB03,oksaboloncipionat
A14B,Andre anabole midler
A15,Appetittstimulerende midler
A16,Andre fordøyelses- og stoffskiftemidler
A16A,Andre fordøyelses- og stoffskiftemidler
A16AA,Aminosyrer og derivater
A16AA01,levokarnitin
A16AA02,ademetionin
A16AA03,glutamin
A16AA04,merkaptamin
A16AA05,kargluminsyre
A16AA06,betain
A16AA07,metreleptin
A16AB,Enzymer
A16AB01,alglukerase
A16AB02,imiglukerase
A16AB03,agalsidase alfa
A16AB04,agalsidase beta
A16AB05,laronidase
A16AB06,sakrosidase
A16AB07,alglukosidase alfa
A16AB08,galsulfase
A16AB09,idursulfase
A16AB10,velaglukerase alfa
A16AB11,taliglukerase alfa
A16AB12,elosulfase alfa
A16AB13,asfotase alfa
A16AB14,sebelipase alfa
A16AB15,velmanase alfa
A16AB16,idursulfase beta
A16AB17,cerliponase alfa
A16AB18,vestronidase alfa
A16AB19,pegvaliase
A16AX,Andre fordøyelses- og stoffskiftemidler
A16AX01,tioktsyre
A16AX02,anetoltrition
A16AX03,natriumfenylbutyrat
A16AX04,nitisinon
A16AX05,sinkacetat
A16AX06,miglustat
A16AX07,sapropterin
A16AX08,teduglutid
A16AX09,glyserolfenylbutyrat
A16AX10,eliglustat
A16AX11,natriumbenzoat
A16AX12,trientin
A16AX13,uridintriacetat
A16AX14,migalastat
A16AX15,telotristat
A16AX16,givosiran
A16AX17,triheptanoin
A16AX18,lumasiran
A16AX30,natriumbenzoat og fenylacetatnatrium
B,Blod og bloddannende organer
B01,Antitrombotiske midler
B01A,Antitrombotiske midler
B01AA,Vitamin K-antagonister
B01AA01,dikumarol
B01AA02,fenindion
B01AA03,warfarin
B01AA04,fenprokumon
B01AA07,acenokumarol
B01AA08,etylbiskumacetat
B01AA09,clorindion
B01AA10,difenadion
B01AA11,tioklomarol
B01AA12,fluindion
B01AB,Heparingruppen
B01AB01,heparin
B01AB02,antitrombin III
B01AB04,dalteparin
B01AB05,enoksaparin
B01AB06,nadroparin
B01AB07,parnaparin
B01AB08,reviparin
B01AB09,danaparoid
B01AB10,tinzaparin
B01AB11,sulodeksid
B01AB12,bemiparin
B01AB51,"heparin, kombinasjoner"
B01AC,"Hemmere av blodplateaggregasjonen, ekskl. heparin"
B01AC01,ditazol
B01AC02,cloricromen
B01AC03,pikotamid
B01AC04,klopidogrel
B01AC05,tiklopidin
B01AC06,acetylsalisylsyre
B01AC07,dipyridamol
B01AC08,karbasalatkalsium
B01AC09,epoprostenol
B01AC10,indobufen
B01AC11,iloprost
B01AC13,abciksimab
B01AC15,aloksiprin
B01AC16,eptifibatid
B01AC17,tirofiban
B01AC18,triflusal
B01AC19,beraprost
